id,Media,Date,Title,Author,Description
339,series,2009-2009,Paradox (TV series),Lizzie Mickery,"Detective Inspector Rebecca Flint (Tamzin Outhwaite), Detective Sergeant Ben Holt (Mark Bonnar) and Detective Constable Callum Gada (Chiké Okonkwo) investigate images being broadcast to an eminent astrophysicist Dr Christian King's (Emun Elliott) laboratory, which appear to show catastrophic events in the future."
340,series,2009-2011,Being Erica,Jana Sinyor,"Erica Strange begins seeing a counselor to deal with regrets in her life, only to discover the counselor (Michael Riley) has the ability to send her back in time to actually change these events."
341,series,2009-2010,FlashForward,Brannon Braga and David S. Goyer,"FBI agent Mark Benford and the rest of the world fall victim to an incident that renders the entire population of Earth unconscious for two minutes seventeen seconds on 6 October 2009. During the ""Black Out"", as it is called, the consciousness of everyone on the entire planet shifts forward six months into the future to the date 29 April 2010, where they witness their potential futures that could occur that day."
342,series,2010-–,Mary Shelley's Frankenhole,Dino Stamotopolous,"Dr. Victor Frankenstein has since completely mastered immortality and now has also created an infinite number of Einstein-Rosen Bridge ""wormholes"" portals or ""Frankenholes"" between his small Eastern European village (which is teeming with monsters and supernatural forces) and every time period from the past and the future. This allows historical figures and celebrities seeking the doctor's services to find him. Although many classic horror monsters are present, the series' focus is mainly on Dr. Frankenstein and his family."
343,series,2011-2011,Hoops & Yoyo Ruin Christmas,-,"In a TV special, Hoops and Yoyo accidentally travel through a wormhole and meet Santa Claus when he was still Kris Kringle."
344,series,2011-2011,Puella Magi Madoka Magica,Gen Urobuchi,A mysterious girl named Homura Akemi is revealed to have made a contract with a being known as Kyubei to go back in time and save the titular character.
345,series,2011-2011,Terra Nova,-,"When Earth is threatened with extinction in 2149, specially selected humans travel back 85 million years in hopes of preventing disaster later. However, they arrive on a parallel version of Earth (This avoids questions around creating a paradox when time-travelling)."
346,series,2012-2012,Primeval: New World,-,A Canadian spin-off series to Primeval.
347,series,2012-–,Continuum (TV series),-,"Canadian science fiction series centres on the conflict between a police officer and a group of rebels from the year 2077 who time-travel to Vancouver, BC in the year 2012."
348,game,1991,Teenage Mutant Ninja Turtles: Turtles in Time,-,"As the TMNT reach the Technodrome, Shredder sends the m through a time warp through the past (Age of Dinosaurs, a pirate ship in 1530 AD, a train in the American West in 1885 AD) and the future (New York City in 2020 AD and a Star Base in 2100 AD) before they can go back to their present in 1991."
349,game,1993,Maniac Mansion: Day of the Tentacle,-,"In order to prevent Purple Tentacle from growing a pair of arms and subsequently enslaving humanity, students Bernard, Laverne and Hoagie attempt to travel one day back in time in Dr. Edison's Chron-o-Johns, time machines housed in portable toilets. During the trip, the machines malfunction and strand Hoagie and Laverne 200 years into the past and future respectively. Players control each character in his/her own time zone (past, present, future), meeting historical figures and progenitors/descendants of some characters; the goal is to return Hoagie and Laverne to the present and prevent Purple Tentacle's world domination."
350,game,1995,Chrono Trigger,-,A group of heroes from different eras travel back and forth through time in an attempt to prevent the end of the world in the year 1999.
351,game,1998,Crash Bandicoot: Warped,-,Crash Bandicoot is sent to various points in time to retrieve relics.
352,game,1999,Vigilante 8: 2nd Offense,-,"A car combat game and Sequil to Vigilante 8 Time Travel plays a big role in this games storyline. as well as one character ""Agent Chase"" using a weapon that momentarily freezes time for anything his weapon hits. the future vehicles and time travel systems used in the game appear to be very much inspired by Back to the Future."
353,game,2000–2005,TimeSplittersseries,-,"At the series' core is the struggle of human beings against the TimeSplitters, a race of aliens that attempt to exterminate humanity by altering its past. The first game in the series took the perspective of several characters fighting off the TimeSplitters in their own eras. The second game added two central protagonists, Sgt. Cortez and Corporal Hart, soldiers from 2401 who traveled to different eras to fight the TimeSplitters. Future Perfect placed a heavier emphasis on a linear story, cinematic cutscenes and character-based humor, and follows Cortez as he teams up with characters against the TimeSplitters and a new, human antagonist, mad scientist Jacob Crow. The ending of Future Perfect implies a definite conclusion to the plot, although a fourth game has been in development hell since 2007."
354,game,2001,Shadow of Memories(US: Shadow of Destiny),-,"The protagonist, Eike Kusch, is murdered at the start of the game by a knife stab on the back. He is saved from death by an unknown entity who gives him a time travel device, called a digipad, that can be used to send Eike back to a pre-determined point in time, allowing him to take actions in order to prevent his death. After being sent back 30 minutes, Eike succeeds in preventing his stabbing, only to find that he is killed in some different manner, starting the time-travel cycle again. During the course of the game, Eike travels to several time periods as far back as medieval times, gradually uncovering the connection behind the attempts on his life, the mysterious being who saves him and his own past. The game features several possible endings, depending on the player's actions and choices that alter the timeline."
355,game,2007,Timeshift,-,"Scientists from the near future have begun work on creating a viable time machine. The project results in the creation of two devices, the Alpha Suit, a less advanced prototype jump suit, and the Beta Suit, a more advanced, so-called military grade model with features the Alpha Suit lacks such as combat-related timeshifting abilities and an integrated artificial intelligence to prevent the creation of temporal paradoxes. The protagonist, a fellow scientist whose name is never spoken (never mentioned in the game or manual), then takes the Beta Suit and follows Dr. Krone back to the year 1939 (in an alternate timestream) to a place called Alpha District. During the trip parts of the Beta suit are damaged, forcing the protagonist to assist the Occupant Rebellion against Dr. Krone in hopes of salvaging parts from the Alpha suit."
356,game,2007–present,World of Warcraft,-,Many quests are available to players which bring their character's mind and/or body back in time.
357,game,2008,Braid,-,Braid is a platformer art game where the player manipulates time in a variety of creative ways to solve puzzles. Braid's story also deals with the subject of time travel in a way similar to the relationship portrayed in Eternal Sunshine of the Spotless Mind
358,game,"JP: 2008, US: 2010",Professor Layton and the Unwound Future,-,"The Third in the Professor Layton series, set between London Present and 10 years later. Layton receives a letter from Luke ten years in the future. and it is connected by a failed time Machine Demonstration and the missing Prime Minister of the UK"
359,game,2010,Back to the Future: The Game,-,"The game takes place six months after the events of the film Back to the Future Part III and sees Marty McFly, the protagonist of the series, trying to adjust to a life without his best friend, scientist Doctor Emmett ""Doc"" Brown, whose belongings are being sold off by the bank following his disappearance to an unknown time period. Out of nowhere, an intact duplicate of the destroyed DeLorean time machine appears in front of Marty, and hints and notes inside instruct him to come to Doc's rescue, who is stranded in the year 1931, during the time of Prohibition. The game's series follows the events of Marty and Doc trying to repair hellish timelines created by their past attempts."
360,game,2010,Achron,-,RTS tme travel game – if you lose a skirmish you can travel back to before it happened and avoid or fix it. But so can your opponents. http://www.achrongame.com/site/
361,game,2012 (2011 in Japan),Final Fantasy XIII-2,-,"The two characters, Noell Kress and Serah Farron, must travel across time through special gates, unlocked with ornate statues. Their goal is to fix the timeline, which has been disturbed by their antagonist Caius Ballad to instigate the end of time itself."
362,game,2011,Steins;Gate,-,"The main character, Rintaro Okabe, invents a microwave with his friends that can send text messages into the past. This causes him to travel between ""world lines"", where he find out that in the ""alpha world line"" that by the year 2036, the world is a dystopia ruled by SERN (based on ""CERN"") and he has to travel back into the ""beta timeline"" in order to stop the world from becoming a dystopia after being warned by a time traveler using the name ""John Titor"", but once he reaches the ""beta timeline, he has to travel to the ""Steins;Gate"" timeline in order to prevent World War III."
363,game,2013,BioShock Infinite,-,Bioshock Infinite's Plot is based around both time travel and the many-worlds interpretation of Quantum physics.
